Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Current Interest Rate Type,Current Interest Rate Reference,Early Redemption Penalty,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Loan Status,Days in Past-Due
A00019346,LP19283,Web,2/16/2015,USA,Resi,Mortage,Loan,Linear,2/8/2045,2/13/2045,USD,200000,190000,1000,191000,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,90
A00019347,LP19284,Broker,2/17/2015,USA,CRE,Mortage,Loan,Balloon,2/9/2045,2/14/2045,USD,150000,135000,375,135375,0.035,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,92
A00019348,LP19285,Branch,2/18/2015,USA,Resi,Mortage,Loan,Linear,2/10/2045,2/15/2045,USD,100000,98000,270,98270,0.04,variable,fixed,LIBOR,0.03,7/26/2019,277.7777778,277.7777778,non-performing,180
A00019349,LP19286,Branch,2/19/2015,USA,Resi,Mortage,Loan,Linear,2/11/2045,2/16/2045,USD,85000,80750,491.3,81241.3,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,170
A00019350,LP19287,Web,2/20/2015,USA,Resi,Mortage,Loan,Linear,2/12/2045,2/17/2045,USD,200000,190000,1000,191000,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,213
A00019351,LP19288,Broker,2/21/2015,USA,Resi,Mortage,Loan,Linear,2/13/2045,2/18/2045,USD,150000,150030,25.5,150055.5,0.0375,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20
A00019352,LP19289,Branch,2/22/2015,USA,Resi,Mortage,Loan,Linear,2/14/2045,2/13/2051,USD,136000,129200,680,129880,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90
A00019353,LP19290,Web,2/23/2015,USA,Resi,Mortage,Loan,Linear,2/15/2045,2/14/2050,USD,132714.2857,119442.8571,663.5714286,120106.4286,0.04,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,91
A00019354,LP19291,Broker,2/24/2015,USA,Resi,Mortage,Loan,Linear,2/16/2045,2/15/2050,USD,129428.5714,126840,323.5714286,127163.5714,0.04,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,95
A00019355,LP19292,Branch,2/25/2015,USA,Resi,Mortage,Loan,Linear,2/17/2045,2/16/2050,USD,126142.8571,119835.7143,340.5857143,120176.3,0.04,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,97
A00019356,LP19293,Branch,2/26/2015,USA,Resi,Mortage,Loan,Linear,2/18/2045,2/17/2050,USD,122857.1429,116714.2857,710.1142857,117424.4,0.04,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,93
A00019357,LP19294,Web,2/27/2015,USA,Resi,Mortage,Loan,Linear,2/19/2045,2/18/2050,USD,119571.4286,113592.8571,597.8571429,114190.7143,0.04,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,non-performing,213
A00019358,LP19295,Broker,2/28/2015,USA,Resi,Mortage,Loan,Linear,2/20/2045,2/18/2053,USD,116285.7143,110471.4286,19.76857143,110491.1971,0.0375,mixed,fixed,,0.03,7/23/2019,323.015873,323.015873,,20
A00019359,LP19296,Branch,3/1/2015,USA,Resi,Mortage,Loan,Linear,2/21/2045,2/26/2045,USD,200000,180000,1000,181000,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,90
A00019360,LP19297,Web,3/2/2015,USA,Resi,Mortage,Loan,Linear,2/22/2045,2/27/2045,USD,150000,147000,750,147750,0.04,fixed,fixed,,0.03,7/26/2019,250,416.6666667,non-performing,91
A00019361,LP19298,Broker,3/3/2015,USA,Resi,Mortage,Loan,Linear,2/23/2045,2/28/2045,USD,100000,95000,250,95250,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,95
A00019362,LP19299,Branch,3/4/2015,USA,Resi,Mortage,Loan,Linear,2/24/2045,3/1/2045,USD,85000,76500,229.5,76729.5,0.035,mixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,97
A00019363,LP19300,Branch,3/5/2015,USA,CRE,Mortage,Loan,Linear,2/25/2045,3/2/2045,USD,200000,196000,1156,197156,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93
A00019364,LP19301,Web,3/6/2015,USA,Resi,Mortage,Loan,Linear,2/26/2045,3/3/2045,USD,150000,142500,750,143250,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20
A00019365,LP19302,Broker,3/7/2015,USA,Resi,Mortage,Loan,Linear,2/27/2045,2/26/2051,USD,136000,129200,23.12,129223.12,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90
A00019366,LP19303,Branch,3/8/2015,USA,Resi,Mortage,Loan,Linear,2/28/2045,2/27/2050,USD,132714.2857,132740.8286,22.56142857,132763.39,0.04,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,91
A00019367,LP19304,Web,3/9/2015,USA,Resi,Mortage,Loan,Balloon,3/1/2045,2/28/2050,USD,129428.5714,122957.1429,22.00285714,122979.1457,0.04,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,95
